"","k","S","D","S_OVER_D"
"1",2,4.07916166955974,2.83108020608638,1.44084991332643
"2",3,3.90383585387849,3.93352824429779,0.992451461239069
"3",4,3.51946285006851,6.05029028834025,0.581701485770196
"4",5,3.7634316953588,3.62683778390668,1.03766198534112
"5",6,3.4791034191279,5.41443409296971,0.642560858510641
"6",7,3.41574850450716,3.96827524730546,0.860764007442912
"7",8,3.01078566972496,5.54157041794332,0.543309106020956
"8",9,2.90593789582945,3.97191564486614,0.731621251721569
"9",10,3.57624858220644,5.03357655393575,0.710478631622315
"10",11,3.43319421512392,4.37526942058439,0.784681784159788
"11",12,3.11351350063089,4.37549844519678,0.711579158266817
"12",13,3.46291094987279,4.83144189129146,0.716744820239811
"13",14,3.3217445311278,4.49855798737862,0.738402070273953
"14",15,3.32893963055239,4.32944683693659,0.76890645755287
"15",16,3.13514944509395,4.17648745893101,0.750666553155748
"16",17,3.08973458004554,4.62058608664097,0.668688889701368
"17",18,3.12283813752303,4.43741245822238,0.703752055262862
"18",19,3.17353006824349,4.68692051016123,0.677103454467232
"19",20,3.09687266047455,4.74012458845723,0.653331490065853
"20",21,3.21658186472871,4.41025432947858,0.729341580876358
"21",22,2.8441117091636,4.91146521666509,0.579076015750503
"22",23,2.90080086605018,4.60160899795285,0.63038838531059
"23",24,3.15412609150435,5.05986485723993,0.623361726151886
"24",25,3.08226704483624,4.72758464296512,0.651975009992218
"25",26,2.9584190120659,4.68702456953811,0.631193408136421
"26",27,3.07292757530647,4.63909083728318,0.662398664542229
"27",28,2.94272361023495,4.62334072413989,0.636492914067544
"28",29,2.73773810554399,4.70826350459286,0.581475124082022
"29",30,3.08584568224325,4.84732070163701,0.636608525035514
"30",31,2.87700995881242,5.11344126221629,0.562636747207976
"31",32,3.07385149624654,4.53629057825235,0.677613447203546
"32",33,2.95933673510059,4.77784348842281,0.619387542156071
"33",34,2.78468105111777,4.8060849959474,0.579407366591701
"34",35,2.87452288679182,4.5805016588195,0.627556346641003
"35",36,3.03835368394321,4.83147958037166,0.628866092342977
"36",37,2.95337205789591,4.78458545115822,0.617268118219307
"37",38,2.79474033462097,4.41651764198298,0.632792747855108
"38",39,2.73220766154392,4.69951139144695,0.581381219017046
"39",40,2.50924799630988,4.78943691011176,0.523912944966912
"40",41,2.74097591097149,4.6019563856946,0.595611014370311
"41",42,2.86891858128314,4.43829502372823,0.646401053996002
"42",43,2.61435228291803,4.40867674761301,0.59300158133243
"43",44,2.81156548324301,4.59213225490794,0.612257079538179
"44",45,2.95571356603795,4.71132677765227,0.627363310916597
"45",46,2.78528814277021,4.76560494724863,0.584456364638085
"46",47,2.63948977820389,4.82752128361631,0.546758807084252
"47",48,2.53800122802527,4.37505236851064,0.580107622549272
"48",49,2.56675112065841,4.34190680387986,0.591157580435582
"49",50,2.67864134039502,4.76122000258955,0.562595582421764
"50",51,2.62967562102208,4.4706861731486,0.588204029353745
"51",52,2.60597507374888,4.84617402468248,0.537738649185142
"52",53,2.7120179626013,4.58259177896487,0.591808760939622
"53",54,2.65842892866279,4.58794426910741,0.57943792965471
"54",55,2.49936343488688,4.56958469486908,0.546956365136042
"55",56,2.80285680495933,4.694848896284,0.597006818936773
"56",57,2.51652362482652,4.64751228190763,0.541477563087489
"57",58,2.38191769128099,4.45615304678732,0.534523313331494
"58",59,2.57292355271075,4.68725496456825,0.548919052229911
"59",60,2.4798828590834,4.38053145035688,0.566114611249136
"60",61,2.33236881157071,4.67106323683394,0.499322893592765
"61",62,2.58360770626329,4.61023409893625,0.560407053268602
"62",63,2.46033778766451,4.40042657145319,0.559113474049406
"63",64,2.36609864952803,4.63486605053015,0.510499898752713
"64",65,2.36607184364236,4.56730025237346,0.518046047533835
"65",66,2.50564566937968,4.87010307948998,0.514495407691059
"66",67,2.67640693577023,4.73664404708473,0.565042867727728
"67",68,2.43664139194775,4.51118914141543,0.540132837609914
"68",69,2.53837530012596,4.55608305217509,0.557139821872679
"69",70,2.49189781571828,4.64287964516141,0.536713851351977
"70",71,2.30076176414525,4.68321450038887,0.491278322603888
"71",72,2.56874953169938,4.82544036453106,0.532334737898893
"72",73,2.47104442265752,4.51465412315562,0.547338590122232
"73",74,2.38475284442147,4.60837606339487,0.51748225657276
"74",75,2.37620973196855,4.52174323985756,0.52550744390418
"75",76,2.43645871752264,4.80973048626054,0.506568657949259
"76",77,2.41185739042374,4.68773851197891,0.514503397376059
"77",78,2.43886039193089,4.55334408300922,0.535619612194801
"78",79,2.28726286361681,4.34393643467107,0.526541513213926
"79",80,2.28549293229029,4.65243400154534,0.491246717638799
"80",81,2.3237954105216,4.67714915308949,0.496840133692683
"81",82,2.374085321354,4.51248355306303,0.526115008162743
"82",83,2.39442147352296,4.64571325422975,0.51540449065446
"83",84,2.35531039340357,4.64748699872984,0.506792250101459
"84",85,2.30739007255478,4.49527627252257,0.513292161075556
"85",86,2.50600440473944,4.81326213339237,0.520645735737899
"86",87,2.3619299044236,4.70759269111039,0.501727753313018
"87",88,2.3151710290018,4.43496892783666,0.522026437315113
"88",89,2.34577617260085,4.74042861092648,0.494844741927753
"89",90,2.19307394478603,4.49833422701529,0.487530235440323
"90",91,2.33611397986406,4.85928767751458,0.480752351970018
"91",92,2.24714795814598,4.53906541424914,0.495068423356861
"92",93,2.0906867017934,4.63406921716525,0.451155691427569
"93",94,2.17918873924377,4.53293726594472,0.480745400033592
"94",95,2.31584419576547,4.52850301761131,0.511392879006411
"95",96,2.17696833629034,4.569491389509,0.476413707943163
"96",97,2.19131233755448,4.41100578480642,0.496782920825538
"97",98,2.16327677631942,4.46716503629967,0.484261664554786
"98",99,2.2308391880389,4.68511826635996,0.476154295625096
"99",100,2.26699906246174,4.77659204141987,0.474605962327036
